rx:2.50682e+031, ry:-1.20911e+031, vx:2.50682e+020, vy:-1.20911e+020, mass:1.3117e+049
rx:1.48902e+031, ry:2.27205e+030, vx:1.48902e+020, vy:2.27205e+019, mass:6.35274e+049
rx:-1.73772e+031, ry:1.9603e+031, vx:-1.73772e+020, vy:1.9603e+020, mass:1.60482e+050
rx:-6.19612e+030, ry:-6.66381e+030, vx:-6.19612e+019, vy:-6.66381e+019, mass:1.79122e+050
rx:2.31015e+031, ry:-4.2086e+031, vx:2.31015e+020, vy:-4.2086e+020, mass:5.0459e+049
rx:1.26705e+032, ry:5.22478e+031, vx:1.26705e+021, vy:5.22478e+020, mass:8.50877e+049
rx:2.42942e+031, ry:-2.51854e+031, vx:2.42942e+020, vy:-2.51854e+020, mass:4.48625e+049
rx:-1.02554e+031, ry:-3.19571e+031, vx:-1.02554e+020, vy:-3.19571e+020, mass:2.67925e+049
rx:8.7717e+030, ry:1.30411e+031, vx:8.7717e+019, vy:1.30411e+020, mass:1.57052e+050
rx:1.28457e+032, ry:1.25067e+032, vx:1.28457e+021, vy:1.25067e+021, mass:1.70382e+050
rx:-2.9743e+030, ry:2.39169e+031, vx:-2.9743e+019, vy:2.39169e+020, mass:4.96335e+049
rx:1.44896e+031, ry:-5.07408e+031, vx:1.44896e+020, vy:-5.07408e+020, mass:1.61945e+049
rx:-4.68985e+031, ry:-1.84512e+031, vx:-4.68985e+020, vy:-1.84512e+020, mass:5.14726e+049
rx:1.07254e+033, ry:6.03941e+032, vx:1.07254e+022, vy:6.03941e+021, mass:2.48805e+049
rx:6.68011e+030, ry:3.08218e+030, vx:6.68011e+019, vy:3.08218e+019, mass:1.16785e+049
rx:3.76855e+030, ry:1.45886e+031, vx:3.76855e+019, vy:1.45886e+020, mass:8.60771e+049
rx:1.13687e+031, ry:-1.23494e+031, vx:1.13687e+020, vy:-1.23494e+020, mass:1.67486e+050
rx:4.77234e+030, ry:-3.13405e+031, vx:4.77234e+019, vy:-3.13405e+020, mass:8.61924e+047
rx:-2.42702e+031, ry:4.98001e+032, vx:-2.42702e+020, vy:4.98001e+021, mass:4.79521e+049
rx:2.80048e+031, ry:-2.94355e+031, vx:2.80048e+020, vy:-2.94355e+020, mass:1.88009e+050
rx:4.16383e+029, ry:1.4541e+031, vx:4.16383e+018, vy:1.4541e+020, mass:1.87153e+050
rx:-4.04132e+031, ry:1.66476e+031, vx:-4.04132e+020, vy:1.66476e+020, mass:2.83282e+049
rx:-1.23147e+031, ry:-1.88692e+030, vx:-1.23147e+020, vy:-1.88692e+019, mass:8.3121e+049
rx:-1.61096e+031, ry:1.7136e+030, vx:-1.61096e+020, vy:1.7136e+019, mass:1.28985e+049
rx:1.717e+031, ry:3.463e+030, vx:1.717e+020, vy:3.463e+019, mass:1.5965e+050
rx:-3.70665e+031, ry:-2.12801e+031, vx:-3.70665e+020, vy:-2.12801e+020, mass:1.37137e+050
rx:-2.4959e+030, ry:6.4008e+030, vx:-2.4959e+019, vy:6.4008e+019, mass:1.72773e+050
rx:8.48749e+030, ry:-7.44293e+031, vx:8.48749e+019, vy:-7.44293e+020, mass:1.09786e+050
rx:1.48279e+031, ry:-4.91843e+030, vx:1.48279e+020, vy:-4.91843e+019, mass:2.88745e+049
rx:1.83648e+031, ry:-8.56545e+030, vx:1.83648e+020, vy:-8.56545e+019, mass:1.83474e+050
rx:-2.46868e+030, ry:2.23134e+030, vx:-2.46868e+019, vy:2.23134e+019, mass:3.10111e+049
rx:-1.46567e+031, ry:-1.29161e+031, vx:-1.46567e+020, vy:-1.29161e+020, mass:2.11657e+049
rx:6.49123e+030, ry:-2.14861e+031, vx:6.49123e+019, vy:-2.14861e+020, mass:1.55553e+050
rx:-9.13914e+030, ry:2.64022e+030, vx:-9.13914e+019, vy:2.64022e+019, mass:1.73113e+050
rx:-9.41083e+028, ry:-8.20298e+029, vx:-9.41083e+017, vy:-8.20298e+018, mass:1.49295e+050
rx:1.36036e+031, ry:-1.53597e+031, vx:1.36036e+020, vy:-1.53597e+020, mass:1.97423e+050
rx:-1.58826e+031, ry:-2.48087e+031, vx:-1.58826e+020, vy:-2.48087e+020, mass:4.92632e+049
rx:-4.55379e+029, ry:-1.83407e+031, vx:-4.55379e+018, vy:-1.83407e+020, mass:1.86777e+050
rx:-1.53605e+030, ry:-1.58113e+031, vx:-1.53605e+019, vy:-1.58113e+020, mass:1.30624e+050
rx:2.53382e+031, ry:-2.46685e+030, vx:2.53382e+020, vy:-2.46685e+019, mass:1.32099e+050
rx:2.73451e+031, ry:3.72207e+031, vx:2.73451e+020, vy:3.72207e+020, mass:8.39405e+049
rx:2.26988e+031, ry:-3.26221e+030, vx:2.26988e+020, vy:-3.26221e+019, mass:1.06696e+050
rx:3.14534e+031, ry:-5.23112e+031, vx:3.14534e+020, vy:-5.23112e+020, mass:7.28386e+048
rx:9.3042e+030, ry:4.89058e+030, vx:9.3042e+019, vy:4.89058e+019, mass:7.74518e+049
rx:6.64995e+030, ry:-1.20558e+031, vx:6.64995e+019, vy:-1.20558e+020, mass:3.1005e+049
rx:1.27575e+031, ry:-2.60801e+030, vx:1.27575e+020, vy:-2.60801e+019, mass:1.38697e+050
rx:-1.53062e+032, ry:6.8169e+031, vx:-1.53062e+021, vy:6.8169e+020, mass:1.66218e+050
rx:-2.59957e+031, ry:-3.75467e+030, vx:-2.59957e+020, vy:-3.75467e+019, mass:1.7423e+050
rx:-1.51467e+030, ry:1.81534e+031, vx:-1.51467e+019, vy:1.81534e+020, mass:1.78151e+050
rx:5.9075e+030, ry:1.21308e+030, vx:5.9075e+019, vy:1.21308e+019, mass:1.40919e+050
rx:-2.25384e+030, ry:-5.32036e+029, vx:-2.25384e+019, vy:-5.32036e+018, mass:8.10755e+049
rx:1.50548e+031, ry:-2.68348e+030, vx:1.50548e+020, vy:-2.68348e+019, mass:1.78218e+050
rx:-1.03977e+031, ry:-5.89931e+030, vx:-1.03977e+020, vy:-5.89931e+019, mass:6.13787e+049
rx:-2.81102e+030, ry:1.25091e+031, vx:-2.81102e+019, vy:1.25091e+020, mass:1.45926e+050
rx:9.54448e+030, ry:-4.97877e+030, vx:9.54448e+019, vy:-4.97877e+019, mass:2.7709e+049
rx:-1.55454e+031, ry:-9.55727e+030, vx:-1.55454e+020, vy:-9.55727e+019, mass:1.81216e+050
rx:-1.3473e+031, ry:-5.0653e+030, vx:-1.3473e+020, vy:-5.0653e+019, mass:1.80482e+050
rx:1.05052e+032, ry:-1.03939e+031, vx:1.05052e+021, vy:-1.03939e+020, mass:8.72182e+049
rx:1.60429e+030, ry:-3.15097e+030, vx:1.60429e+019, vy:-3.15097e+019, mass:1.50715e+049
rx:-1.59586e+031, ry:7.90952e+030, vx:-1.59586e+020, vy:7.90952e+019, mass:1.38685e+050
rx:-8.6247e+028, ry:-7.47299e+030, vx:-8.6247e+017, vy:-7.47299e+019, mass:1.34399e+050
rx:1.40547e+030, ry:-4.59215e+029, vx:1.40547e+019, vy:-4.59215e+018, mass:1.2246e+050
rx:3.91436e+030, ry:-1.677e+030, vx:3.91436e+019, vy:-1.677e+019, mass:1.08469e+050
rx:3.53045e+031, ry:-5.46755e+031, vx:3.53045e+020, vy:-5.46755e+020, mass:1.92919e+050
rx:5.72279e+030, ry:-4.05944e+030, vx:5.72279e+019, vy:-4.05944e+019, mass:1.37793e+050
rx:-2.76454e+030, ry:5.1945e+030, vx:-2.76454e+019, vy:5.1945e+019, mass:1.61058e+050
rx:-1.51052e+031, ry:-2.86939e+031, vx:-1.51052e+020, vy:-2.86939e+020, mass:1.56026e+050
rx:2.05004e+032, ry:-4.56632e+032, vx:2.05004e+021, vy:-4.56632e+021, mass:1.82097e+048
rx:-3.76417e+030, ry:-7.14062e+029, vx:-3.76417e+019, vy:-7.14062e+018, mass:1.50867e+050
